Industry_Code,Industry_Name,average_uniqueness,average_communality,number_of_stocks
H,"Finance, Insurance and Real Estate",0.47460556113017544,0.5253944388698246,37
G,Retail Trade,0.7088863429229898,0.29111365707701015,8
E,Transportation and Public Utilities,0.7351897869184034,0.2648102130815966,18
B,Mining,0.7604667473871132,0.2395332526128868,4
F,Wholesale Trade,0.763717992263145,0.23628200773685498,10
D,Manufacturing,0.8046305690947416,0.1953694309052583,7
I,Services,0.8277851007326164,0.17221489926738365,8
