Stock_ID,Market_Correlation,Industry_Code,Industry_Name,PC1,Factor1,Communality,Market_Correlation_Scaled,PC1_Scaled,Factor1_Scaled,Communality_Scaled,Recommendation_Score
H90005,0.9538096230488086,H,"Finance, Insurance and Real Estate",0.19584255317755442,0.7084008038448332,0.9483998253360867,1.0,1.0,0.8773300116360998,1.0,0.969332502909025
H70797,0.9046470019370754,H,"Finance, Insurance and Real Estate",0.1829818128159769,0.7137264960574133,0.848791165973626,0.9500177144163139,0.9337386645766769,0.8834955252905118,0.8893249045013378,0.9141442021962101
H90105,0.8598074418745415,H,"Finance, Insurance and Real Estate",0.17377625471133287,0.8057487864425085,0.8349091790823349,0.9044305661762146,0.886309624242961,0.9900290359089734,0.8739006408405436,0.9136674667921731
H88301,0.8680269209284509,H,"Finance, Insurance and Real Estate",0.1714506589702714,0.8143615783018692,0.8196108400842099,0.9127870846069127,0.8743276484682301,1.0,0.8569026695755426,0.9110043506626713
H75938,0.8060630993456621,H,"Finance, Insurance and Real Estate",0.16471590621427953,0.8121754412831191,0.7785568331710881,0.8497901703624773,0.8396287354343316,0.9974691256832905,0.8112875979061327,0.8745439073465581
