Industry_Code,Industry_Name,factor1_mean_loading,factor2_mean_loading,factor3_mean_loading,number_of_stocks
B,Mining,0.413210563809589,0.08069634804764343,0.053131585682574846,4
D,Manufacturing,0.31010342479031483,0.25388617299882055,0.095760124614035,7
E,Transportation and Public Utilities,0.37303971817984577,0.2767208968970892,0.02709517740269636,18
F,Wholesale Trade,0.38976120331650516,0.214643707870093,0.031771717850272475,10
G,Retail Trade,0.3014918341614618,0.4138346969257103,0.0628427980257232,8
H,"Finance, Insurance and Real Estate",0.3514662176568405,0.3569829808304784,0.21625251099654916,37
I,Services,0.27890166021069257,0.26056426418728074,0.027779004439171508,8
