Industry_Code,Industry_Name,pc1_mean_loading,pc1_total_loading,number_of_stocks
H,"Finance, Insurance and Real Estate",0.10732538142623273,3.971039112770611,37
G,Retail Trade,0.1048907365743592,0.8391258925948736,8
E,Transportation and Public Utilities,0.09556135949918905,1.720104470985403,18
F,Wholesale Trade,0.0896896118513938,0.896896118513938,10
D,Manufacturing,0.0864894239867664,0.6054259679073648,7
I,Services,0.0787475290271825,0.62998023221746,8
B,Mining,0.07524677010226809,0.30098708040907235,4
